date,category,amount,customer_id
2024-02-05,salary_expense,-33200,
2024-02-05,marketing_expense,-9400,
2024-02-05,software_expense,-2850,
2024-02-05,cogs,-2400,
2024-02-05,subscription_revenue,6100.0,summit_bank
2024-02-05,subscription_revenue,4242.0,meridian_pay
2024-02-12,salary_expense,-33380,
2024-02-12,marketing_expense,-9180,
2024-02-12,software_expense,-2925,
2024-02-12,cogs,-2520,
2024-02-12,subscription_revenue,6283.0,summit_bank
2024-02-12,subscription_revenue,4368.0,meridian_pay
2024-02-12,subscription_revenue,2940.0,coastal_credit
2024-02-19,salary_expense,-33560,
2024-02-19,marketing_expense,-8960,
2024-02-19,software_expense,-2850,
2024-02-19,cogs,-2640,
2024-02-19,subscription_revenue,6466.0,summit_bank
2024-02-19,subscription_revenue,4494.0,meridian_pay
2024-02-19,subscription_revenue,3024.0,coastal_credit
2024-02-19,tax_payment,-9000,
2024-02-26,salary_expense,-33740,
2024-02-26,marketing_expense,-9520,
2024-02-26,software_expense,-2925,
2024-02-26,cogs,-2760,
2024-02-26,subscription_revenue,6649.0,summit_bank
2024-02-26,subscription_revenue,4620.0,meridian_pay
2024-02-26,subscription_revenue,3108.0,coastal_credit
2024-03-04,salary_expense,-33920,
2024-03-04,marketing_expense,-9300,
2024-03-04,software_expense,-2850,
2024-03-04,cogs,-2880,
2024-03-04,subscription_revenue,6832.0,summit_bank
2024-03-04,subscription_revenue,4746.0,meridian_pay
2024-03-04,subscription_revenue,3192.0,coastal_credit
2024-03-04,subscription_revenue,2760.0,cinder_risk
2024-03-04,churn_refund,-2100,coastal_credit
2024-03-11,salary_expense,-34100,
2024-03-11,marketing_expense,-9080,
2024-03-11,software_expense,-2925,
2024-03-11,cogs,-3000,
2024-03-11,subscription_revenue,7015.0,summit_bank
2024-03-11,subscription_revenue,4872.0,meridian_pay
2024-03-11,subscription_revenue,3276.0,coastal_credit
2024-03-11,subscription_revenue,2832.0,cinder_risk
2024-03-11,subscription_revenue,3900,oak_wealth
2024-03-18,salary_expense,-34280,
2024-03-18,marketing_expense,-9640,
2024-03-18,software_expense,-2850,
2024-03-18,cogs,-3120,
2024-03-18,subscription_revenue,7198.0,summit_bank
2024-03-18,subscription_revenue,4998.0,meridian_pay
2024-03-18,subscription_revenue,3360.0,coastal_credit
2024-03-18,subscription_revenue,2904.0,cinder_risk
2024-03-25,salary_expense,-34460,
2024-03-25,marketing_expense,-9420,
2024-03-25,software_expense,-2925,
2024-03-25,cogs,-3240,
2024-03-25,subscription_revenue,7381.0,summit_bank
2024-03-25,subscription_revenue,5124.0,meridian_pay
2024-03-25,subscription_revenue,3444.0,coastal_credit
2024-03-25,subscription_revenue,2976.0,cinder_risk
